,address,area,date,location,time,type
1254,FORT WEAVER RD&LAULAUNUI; ST,EWA BEACH,12/3/2016, ,2:13:24 AM,MOTOR VEHICLE COLLISION - TOWED
1255,KAM HWY&KANEOHE; BAY DR,KANEOHE,12/3/2016, ,1:50:59 AM,MOTOR VEHICLE COLLISION
1256,5X H2N FWY,MILILANI,12/3/2016,H2N MILILANI OFF,1:38:33 AM,HAZARDOUS DRIVER
1257,193X MAKIKI ST,MAKIKI,12/3/2016, ,1:12:44 AM,MOTOR VEHICLE COLLISION
1258,KAM FROM H3E,KANEOHE,12/3/2016,KAM FROM H3E,1:02:46 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1259,458X KAPOLEI PKWY,KAPOLEI,12/4/2016,COSTCO KAPOLEI,12:08:27 PM,MOTOR VEHICLE COLLISION
1260,34X HAHANI ST,KAILUA,12/4/2016,TARGET KAILUA,12:01:58 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1261,ALA WAI BLVD&NAHUA; ST,WAIKIKI,12/4/2016, ,12:01:45 PM,MOTOR VEHICLE COLLISION
1262,15X N BERETANIA ST,DOWNTOWN,12/4/2016,HALE PAUAHI,12:00:38 PM,MOTOR VEHICLE COLLISION
1263,ALA MOANA&KALIA; RD,WAIKIKI,12/4/2016, ,11:54:47 AM,TRAFFIC SIGNAL PROBLEM
1264,133X MAHIOLE ST,MOANALUA V,12/4/2016,MOANALUA ES,11:52:47 AM,MOTOR VEHICLE COLLISION
1265,65X ONEAWA ST,KAILUA,12/4/2016, ,11:48:25 AM,MOTOR VEHICLE COLLISION
1266,52022X KAM HWY,KAAAWA,12/4/2016,KAHANA VLY STATE PK,11:34:58 AM,MOTOR VEHICLE COLLISION
1267,98100X MOANALUA RD,AIEA,12/4/2016,PRSC PHASE 1 / UPTOWN,11:33:13 AM,MOTOR VEHICLE COLLISION
1268,KUHIO AVE&NAMAHANA; ST,WAIKIKI,12/4/2016, ,11:27:00 AM,TRAFFIC INCIDENT - NO COLLISION
1269,LOULU ST&OAHU; AVE,MANOA,12/3/2016, ,6:17:14 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1270,12X KAIULANI AVE,WAIKIKI,12/3/2016,SHERATON PRINCESS KAIULANI HO,6:15:06 AM,MOTOR VEHICLE COLLISION
1271,N NIMITZ HWY&VALKENBURGH; ST,AIRPORT,12/3/2016, ,6:11:14 AM,MOTOR VEHICLE COLLISION
1272,HALAWA VALLEY ST&WAIUA; PL,AIEA,12/3/2016, ,6:10:46 AM,MOTOR VEHICLE COLLISION
1273,18X H1W FWY,AIRPORT,12/3/2016,H1W DILLINGHAM ON,6:06:00 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1274,DILLINGHAM BLVD&KAM; HWY,KALIHI,12/3/2016, ,6:05:12 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1275,49047X KAM HWY,KAHALUU,12/3/2016,KUALOA REGIONAL PK,5:24:16 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
